origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3621,2e-08,684.68,20.0,-0.81986,0.2636,-4.5604e-11,0
3633,2e-08,684.5,20.0,-0.8241,0.18938,4.2299000000000006e-10,0
3618,2e-08,684.8,20.0,-0.83895,0.29593,1.4724e-09,0
3564,2e-08,687.2,20.0,-0.87046,0.50707,3.5065000000000002e-09,0
3626,2e-08,685.88,20.0,-0.8752,0.27778,3.9554e-10,0
1836,2e-08,240.22,20.0,-0.1117,0.94801,4.3129e-09,0
1887,2e-08,249.4,20.0,-0.16365,0.6448,3.0698e-10,0
2631,2e-08,238.52,20.0,-0.14025,1.0467,-3.8743e-09,0
454,2e-08,242.07,20.0,-0.24577,0.9350799999999999,1.9377e-09,0
3240,2e-08,246.02,20.0,-0.040514999999999995,0.6814100000000001,2.8176000000000003e-09,0
3580,2e-08,595.02,20.0,-0.061152,0.22351,-4.3973000000000004e-10,0
3563,2e-08,597.0,20.0,-0.08956499999999999,0.28109,2.1014000000000002e-09,0
3537,2e-08,609.73,20.0,-0.17967,0.34039,1.4340999999999998e-09,0
3587,2e-08,620.32,20.0,-0.19085,0.22246999999999997,-1.0275e-10,0
3571,2e-08,621.35,20.0,-0.2101,0.27795,-8.170700000000001e-10,0
3592,2e-08,633.73,20.0,-0.26742,0.21638000000000002,4.1012e-10,0
3497,2e-08,246.95,20.0,0.00075587,0.6461,-2.6433e-10,0
3604,2e-08,578.5,20.0,0.059566999999999995,0.098952,1.008e-09,0
3524,2e-08,580.14,20.0,0.040122000000000005,0.34055,1.6663e-09,0
3590,2e-08,586.34,20.0,0.0037909,0.19033,5.2525e-11,0
3108,2e-08,238.21,20.0,0.25103000000000003,0.87734,4.0381999999999996e-09,0
3425,2e-08,332.4,20.0,0.25654,0.40034000000000003,8.190499999999999e-10,0
3600,2e-08,574.73,20.0,0.22824,0.11102999999999999,7.227e-10,0
3577,2e-08,576.32,20.0,0.11282,0.22971,-6.196900000000001e-10,0
3307,2e-08,259.67,20.0,0.42033000000000004,0.54198,-1.551e-09,0
3499,2e-08,445.9,20.0,0.58739,0.37526,-3.732e-10,0
3505,2e-08,437.0,20.0,0.49768,0.37739,-2.2597e-09,0
3553,2e-08,587.66,20.0,0.6090800000000001,0.27607,-1.7385999999999998e-09,0
3568,2e-08,586.11,20.0,0.53759,0.2368,1.805e-10,0
3598,2e-08,586.21,20.0,0.52733,0.056622000000000006,-7.7575e-11,0
3588,2e-08,586.23,20.0,0.52488,0.15036,7.1799e-10,0
3593,2e-08,586.22,20.0,0.51858,0.098826,9.5723e-11,0
3484,2e-08,241.09,20.0,0.60961,0.75802,1.7884e-09,0
3567,2e-08,585.77,20.0,0.45186000000000004,0.23824,-1.2623e-09,0
3586,2e-08,586.3,20.0,0.4335,0.16392,8.658300000000001e-10,0
3528,2e-08,591.18,20.0,0.4023,0.32835,5.8393e-10,0
3575,2e-08,585.08,20.0,0.36188000000000003,0.22180999999999998,1.4704999999999998e-09,0
3603,2e-08,582.77,20.0,0.31913,0.073153,3.9934e-10,0
3459,2e-08,249.79,20.0,0.8595700000000001,0.65288,-1.4164000000000002e-09,0
3491,2e-08,298.33,20.0,0.9192,0.50075,-1.5850999999999998e-09,0
