temperature,pressure
506.213,326.603
428.35,227.836
505.375,325.408
431.66,231.782
501.726,320.405
461.808,268.478
404.056,199.668
438.259,239.722
487.283,301.23
497.839,315.231
470.139,279.12
505.907,326.251
410.537,207.168
470.139,279.12
490.496,305.549
413.815,210.986
503.474,322.917
475.172,285.649
506.596,327.311
503.817,323.412
503.817,323.412
506.213,326.765
477.515,288.713
506.213,326.765
454.242,259.395
504.129,323.87
289.331,70.7582
494.471,310.938
353.513,142.472
481.835,294.406
501.941,320.96
427.071,226.619
506.467,327.216
506.777,327.688
496.619,313.876
460.236,266.945
322.053,107.136
430.394,230.593
485.66,299.492
430.394,230.593
497.561,315.174
503.284,322.881
396.286,190.812
402.698,198.192
506.954,328.062
503.997,323.918
405.946,201.951
246.037,21.7197
367.209,157.737
500.603,319.391
506.993,328.169
443.504,246.518
505.868,326.52
475.971,287.23
449.822,254.349
412.505,209.599
449.822,254.349
504.866,325.215
507.135,328.496
506.79,327.932
495.476,312.742
480.313,292.94
502.743,322.435
496.441,311.671
469.275,275.075
484.125,294.68
471.926,278.602
492.1,305.634
492.1,305.634
499.091,315.646
497.509,313.352
381.963,174.35
461.651,269.284
391.262,184.942
487.573,302.596
505.92,326.844
507.213,328.708
467.032,276.196
506.087,327.111
504.253,324.623
469.565,279.476
438.769,241.081
323.651,108.037
506.524,327.826
493.072,310.004
501.596,321.218
507.444,329.245
507.322,328.992
494.203,311.54
478.557,291.243
478.557,291.243
505.773,326.915
503.782,324.344
420.032,218.569
497.92,316.629
506.317,327.776
507.635,329.675
507.279,329.152
499.369,318.639
429.32,229.796
301.462,82.2527
469.083,279.535
501.148,321.143
471.213,282.339
505.269,326.561
492.185,309.514
507.885,330.318
507.172,329.228
475.119,287.527
494.172,312.257
476.899,289.913
478.566,292.166
507.425,329.695
506.584,328.706
508.186,330.956
508.171,330.98
482.942,298.181
453.139,259.845
455.277,262.671
485.399,301.655
505.41,327.747
499.828,320.521
508.071,331.591
501.438,323.182
501.438,323.182
501.959,324.096
508.897,333.393
467.391,279.538
242.338,15.191
594.147,600.042
594.147,600.042
593.943,600.686
591.257,593.456
592.621,597.198
592.621,597.198
592.265,595.996
592.758,595.642
591.157,592.83
591.046,592.53
590.543,590.915
591.34,591.046
590.124,589.42
590.864,589.502
589.669,587.807
589.516,587.275
589.279,586.302
588.861,584.562
586.635,573.927
588.578,582.033
588.148,580.782
587.764,579.475
587.605,580.19
587.706,580.795
588.037,582.027
586.754,576.095
586.903,577.76
587.169,578.922
586.963,576.131
586.925,578.07
586.647,577.13
585.983,573.868
586.199,575.476
586.84,577.79
586.895,577.978
587.243,579.191
586.462,576.458
586.455,576.43
586.187,574.722
586.249,574.984
586.365,576.053
586.259,575.44
586.463,576.44
586.821,577.7
586.579,576.854
586.572,576.83
586.484,576.509
586.565,576.801
586.504,576.179
586.75,577.441
586.587,576.874
586.481,576.398
586.653,577.1
586.541,576.712
586.556,576.509
586.534,576.686
586.581,576.848
586.568,576.617
586.607,576.936
586.59,576.874
586.548,576.733
586.586,576.862
586.567,576.799
586.55,576.742
586.58,576.839
586.557,576.766
586.563,576.784
586.626,576.759
586.561,576.781
586.561,576.783
595.877,602.914
595.877,602.914
594.303,602.117
594.633,603.344
593.87,601.465
594.745,603.747
592.647,598.229
593.799,601.857
593.565,601.254
591.97,595.857
595.96,606.144
593.475,601.141
595.96,606.144
592.432,597.619
594.319,603.77
593.676,601.898
593.767,602.239
594.069,603.126
592.401,597.546
594.934,605.337
593.552,601.644
595.763,607.151
594.656,604.953
594.064,603.32
592.934,599.448
594.719,605.155
592.945,599.485
595.816,607.266
593.712,602.187
593.709,602.177
595.243,606.236
593.305,600.771
594.16,603.605
593.271,600.646
