"origId","d","T","d_nm","Points:0","Points:1","Points:2"
2895,2e-08,500,20,19.033,0.26863,-1.4431e-10
2824,2e-08,500,20,18.983,0.42593,1.0117e-09
2766,1.5701e-06,500,1570.1,18.973,0.90498,-2.1736e-10
2794,2e-08,500,20,18.92,0.25424,1.1811e-09
2953,2e-08,500,20,18.911,0.2708,3.6595e-10
2749,2e-08,500,20,18.894,0.1714,3.0838e-11
2811,2e-08,500,20,18.869,0.11171,9.5588e-11
2952,2e-08,500,20,18.888,0.0053071,0
2846,2e-08,500,20,18.87,0.23788,7.2828e-10
2889,2e-08,500,20,18.824,0.066891,1.5997e-10
2591,8.3823e-07,500,838.23,18.818,0.8283,-3.4688e-09
2899,2e-08,500,20,18.781,0.0042312,0
2944,2e-08,500,20,18.815,0.27619,9.6472e-10
2803,2e-08,500,20,18.68,0.57946,-2.7205e-09
2898,2e-08,500,20,18.661,0.33782,1.9055e-09
2896,2e-08,500,20,18.641,0.13702,-2.4033e-10
2805,1.0218e-06,500,1021.8,18.845,1.1087,-3.582e-09
2917,2e-08,500,20,18.591,4.7659e-07,-4.5358e-16
1001,2e-08,500,20,18.584,0.73475,-9.9193e-10
2665,2e-08,500,20,18.586,0.4514,-1.8724e-09
2962,2e-08,500,20,18.556,7.6049e-07,-7.2378e-16
2914,2e-08,500,20,18.548,0.756,-9.861e-10
2946,2e-08,500,20,18.528,0.61033,4.1559e-09
2988,2e-08,500,20,18.491,0.026877,-2.4397e-10
2722,2e-08,500,20,18.478,0.29972,1.4248e-09
2890,2e-08,500,20,18.465,0.1003,-8.2517e-11
